annee,cotisants_millions,retraites_millions,ratio_cotisants_retraite,type_donnee,source_reference,effort_cotisation_50pct
1950,12.5,2.5,5.0,historique_constate,DREES (Les retraités et les retraites) / Insee,10.0
1951,12.712,2.585,4.918,historique_constate,DREES (Les retraités et les retraites) / Insee,10.17
1952,12.928,2.678,4.827,historique_constate,DREES (Les retraités et les retraites) / Insee,10.36
1953,13.148,2.778,4.733,historique_constate,DREES (Les retraités et les retraites) / Insee,10.56
1954,13.372,2.886,4.633,historique_constate,DREES (Les retraités et les retraites) / Insee,10.79
1955,13.6,3.0,4.533,historique_constate,DREES (Les retraités et les retraites) / Insee,11.03
1956,13.835,3.122,4.431,historique_constate,DREES (Les retraités et les retraites) / Insee,11.28
1957,14.077,3.255,4.325,historique_constate,DREES (Les retraités et les retraites) / Insee,11.56
1958,14.323,3.396,4.218,historique_constate,DREES (Les retraités et les retraites) / Insee,11.85
1959,14.565,3.545,4.109,historique_constate,DREES (Les retraités et les retraites) / Insee,12.17
1960,14.8,3.7,4.0,historique_constate,DREES (Les retraités et les retraites) / Insee,12.5
1961,15.025,3.863,3.889,historique_constate,DREES (Les retraités et les retraites) / Insee,12.86
1962,15.242,4.035,3.777,historique_constate,DREES (Les retraités et les retraites) / Insee,13.24
1963,15.458,4.216,3.667,historique_constate,DREES (Les retraités et les retraites) / Insee,13.64
1964,15.675,4.405,3.558,historique_constate,DREES (Les retraités et les retraites) / Insee,14.05
1965,15.9,4.6,3.457,historique_constate,DREES (Les retraités et les retraites) / Insee,14.46
1966,16.129,4.804,3.357,historique_constate,DREES (Les retraités et les retraites) / Insee,14.89
1967,16.36,5.02,3.259,historique_constate,DREES (Les retraités et les retraites) / Insee,15.34
1968,16.596,5.243,3.165,historique_constate,DREES (Les retraités et les retraites) / Insee,15.8
1969,16.841,5.47,3.079,historique_constate,DREES (Les retraités et les retraites) / Insee,16.24
1970,17.1,5.7,3.0,historique_constate,DREES (Les retraités et les retraites) / Insee,16.67
1971,17.379,5.932,2.93,historique_constate,DREES (Les retraités et les retraites) / Insee,17.06
1972,17.676,6.168,2.866,historique_constate,DREES (Les retraités et les retraites) / Insee,17.45
1973,17.984,6.408,2.806,historique_constate,DREES (Les retraités et les retraites) / Insee,17.82
1974,18.295,6.652,2.75,historique_constate,DREES (Les retraités et les retraites) / Insee,18.18
1975,18.6,6.9,2.696,historique_constate,DREES (Les retraités et les retraites) / Insee,18.55
1976,18.903,7.155,2.642,historique_constate,DREES (Les retraités et les retraites) / Insee,18.93
1977,19.21,7.418,2.59,historique_constate,DREES (Les retraités et les retraites) / Insee,19.31
1978,19.515,7.682,2.54,historique_constate,DREES (Les retraités et les retraites) / Insee,19.69
1979,19.814,7.945,2.494,historique_constate,DREES (Les retraités et les retraites) / Insee,20.05
1980,20.1,8.2,2.451,historique_constate,DREES (Les retraités et les retraites) / Insee,20.4
1981,20.37,8.446,2.412,historique_constate,DREES (Les retraités et les retraites) / Insee,20.73
1982,20.629,8.687,2.375,historique_constate,DREES (Les retraités et les retraites) / Insee,21.05
1983,20.882,8.925,2.34,historique_constate,DREES (Les retraités et les retraites) / Insee,21.37
1984,21.137,9.162,2.307,historique_constate,DREES (Les retraités et les retraites) / Insee,21.67
1985,21.4,9.4,2.277,historique_constate,DREES (Les retraités et les retraites) / Insee,21.96
1986,21.683,9.643,2.249,historique_constate,DREES (Les retraités et les retraites) / Insee,22.23
1987,21.982,9.89,2.223,historique_constate,DREES (Les retraités et les retraites) / Insee,22.49
1988,22.279,10.136,2.198,historique_constate,DREES (Les retraités et les retraites) / Insee,22.75
1989,22.557,10.374,2.174,historique_constate,DREES (Les retraités et les retraites) / Insee,23.0
1990,22.8,10.6,2.151,historique_constate,DREES (Les retraités et les retraites) / Insee,23.25
1991,23.005,10.812,2.128,historique_constate,DREES (Les retraités et les retraites) / Insee,23.5
1992,23.188,11.013,2.106,historique_constate,DREES (Les retraités et les retraites) / Insee,23.74
1993,23.359,11.209,2.084,historique_constate,DREES (Les retraités et les retraites) / Insee,23.99
1994,23.526,11.403,2.063,historique_constate,DREES (Les retraités et les retraites) / Insee,24.24
1995,23.7,11.6,2.043,historique_constate,DREES (Les retraités et les retraites) / Insee,24.47
1996,23.875,11.796,2.024,historique_constate,DREES (Les retraités et les retraites) / Insee,24.7
1997,24.044,11.987,2.006,historique_constate,DREES (Les retraités et les retraites) / Insee,24.93
1998,24.216,12.181,1.988,historique_constate,DREES (Les retraités et les retraites) / Insee,25.15
1999,24.399,12.383,1.97,historique_constate,DREES (Les retraités et les retraites) / Insee,25.38
2000,24.6,12.6,1.952,historique_constate,DREES (Les retraités et les retraites) / Insee,25.61
2001,24.835,12.837,1.935,historique_constate,DREES (Les retraités et les retraites) / Insee,25.84
2002,25.102,13.091,1.918,historique_constate,DREES (Les retraités et les retraites) / Insee,26.07
2003,25.382,13.357,1.9,historique_constate,DREES (Les retraités et les retraites) / Insee,26.32
2004,25.654,13.628,1.882,historique_constate,DREES (Les retraités et les retraites) / Insee,26.57
2005,25.9,13.9,1.863,historique_constate,DREES (Les retraités et les retraites) / Insee,26.84
2006,26.12,14.186,1.841,historique_constate,DREES (Les retraités et les retraites) / Insee,27.16
2007,26.329,14.489,1.817,historique_constate,DREES (Les retraités et les retraites) / Insee,27.52
2008,26.529,14.79,1.794,historique_constate,DREES (Les retraités et les retraites) / Insee,27.87
2009,26.718,15.067,1.773,historique_constate,DREES (Les retraités et les retraites) / Insee,28.2
2010,26.9,15.3,1.758,historique_constate,DREES (Les retraités et les retraites) / Insee,28.44
2011,27.069,15.488,1.748,historique_constate,DREES (Les retraités et les retraites) / Insee,28.6
2012,27.224,15.651,1.739,historique_constate,DREES (Les retraités et les retraites) / Insee,28.75
2013,27.376,15.801,1.733,historique_constate,DREES (Les retraités et les retraites) / Insee,28.85
2014,27.531,15.947,1.726,historique_constate,DREES (Les retraités et les retraites) / Insee,28.97
2015,27.7,16.1,1.72,historique_constate,DREES (Les retraités et les retraites) / Insee,29.07
2016,27.871,16.274,1.713,historique_constate,DREES (Les retraités et les retraites) / Insee,29.19
2017,28.039,16.463,1.703,historique_constate,DREES (Les retraités et les retraites) / Insee,29.36
2018,28.222,16.644,1.696,historique_constate,DREES (Les retraités et les retraites) / Insee,29.48
2019,28.437,16.797,1.693,historique_constate,DREES (Les retraités et les retraites) / Insee,29.53
